City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
174,Ayan,56.45,138.1667,54.86,98,100,21.47,light rain,RU,2022-08-06 05:14:17
175,Shouguang,36.88,118.7375,97.34,50,59,5.03,broken clouds,CN,2022-08-06 05:14:17
176,Saint-Francois,46.4154,3.9054,63.84,68,0,5.75,clear sky,FR,2022-08-06 05:14:18
177,Chabahar,25.2919,60.643,81.97,79,96,5.5,overcast clouds,IR,2022-08-06 05:14:19
178,Marsa Matruh,31.3525,27.2453,76.93,73,0,9.66,clear sky,EG,2022-08-06 05:14:20
179,Mao,39.8885,4.2658,77.56,88,0,4.61,clear sky,ES,2022-08-06 05:15:21
180,Jerome,42.7241,-114.5186,68.83,84,100,4.61,overcast clouds,US,2022-08-06 05:15:22
181,Bolitoc,15.7395,119.8769,81.05,83,100,6.2,heavy intensity rain,PH,2022-08-06 05:15:24
182,Tiksi,71.6872,128.8694,41.4,81,100,13.2,overcast clouds,RU,2022-08-06 05:15:24
183,Nizwa,22.9333,57.5333,95.49,29,17,1.83,few clouds,OM,2022-08-06 05:15:25
184,Kalmunai,7.4167,81.8167,88.34,47,100,6.35,overcast clouds,LK,2022-08-06 05:15:26
185,Tuatapere,-46.1333,167.6833,53.02,74,21,5.55,moderate rain,NZ,2022-08-06 05:15:27
186,Dharchula,29.85,80.5333,77.81,85,99,1.83,overcast clouds,IN,2022-08-06 05:15:27
187,Havelock,34.8791,-76.9013,84.18,91,43,5.14,scattered clouds,US,2022-08-06 05:10:41
188,Petropavlovsk-Kamchatskiy,53.0452,158.6483,66.79,68,20,15.66,few clouds,RU,2022-08-06 05:15:28
189,Karratha,-20.7377,116.8463,75.31,28,0,15.28,clear sky,AU,2022-08-06 05:15:29
190,Livramento,-3.0254,-60.1803,81.27,94,0,0.0,clear sky,BR,2022-08-06 05:15:30
191,Valdivia,-39.8142,-73.2459,44.69,99,100,2.95,moderate rain,CL,2022-08-06 05:15:31
192,Gat,31.61,34.7642,80.4,100,0,2.93,clear sky,IL,2022-08-06 05:13:05
193,Nishihara,26.1842,127.7558,88.88,79,75,11.5,broken clouds,JP,2022-08-06 05:15:32
194,Picota,-6.9197,-76.3304,70.63,98,99,1.16,overcast clouds,PE,2022-08-06 05:15:32
195,Kabinda,-6.1333,24.4833,67.33,41,11,3.85,few clouds,CD,2022-08-06 05:15:33
196,Saint-Claude,46.5,5.8333,64.18,84,86,2.39,overcast clouds,FR,2022-08-06 05:15:33
197,Nizhniy Kuranakh,58.8353,125.4869,52.47,98,100,4.59,moderate rain,RU,2022-08-06 05:15:34
198,Gao,16.6362,1.637,85.26,52,53,15.68,broken clouds,ML,2022-08-06 05:15:35
199,Lundazi,-12.2929,33.1782,59.11,67,6,5.35,clear sky,ZM,2022-08-06 05:15:36
200,Comodoro Rivadavia,-45.8667,-67.5,40.86,75,75,9.22,light rain,AR,2022-08-06 05:14:03
201,Abonnema,4.7084,6.7931,73.04,87,99,4.09,overcast clouds,NG,2022-08-06 05:15:37
202,Broken Hill,-31.95,141.4333,59.72,33,1,21.88,clear sky,AU,2022-08-06 05:15:38
203,Baracoa,20.3467,-74.4958,79.9,83,89,12.08,overcast clouds,CU,2022-08-06 05:15:39
204,Bonnyville,54.2668,-110.735,53.4,71,79,5.01,broken clouds,CA,2022-08-06 05:15:39
205,Aklavik,68.2191,-135.0107,66.51,56,96,13.24,overcast clouds,CA,2022-08-06 05:15:39
206,Vila Do Maio,15.1333,-23.2167,77.79,84,100,8.3,overcast clouds,CV,2022-08-06 05:15:40
207,Alexandria,31.2156,29.9553,79.43,67,0,8.52,clear sky,EG,2022-08-06 05:12:02
208,Luderitz,-26.6481,15.1594,58.46,59,94,2.68,overcast clouds,NA,2022-08-06 05:15:40
209,Vila Franca Do Campo,37.7167,-25.4333,72.01,91,100,7.36,light rain,PT,2022-08-06 05:15:42
210,Bredy,52.4153,60.3411,73.04,54,6,11.12,clear sky,RU,2022-08-06 05:15:43
211,Lagoa,39.05,-27.9833,74.14,86,58,11.83,light rain,PT,2022-08-06 05:15:43
212,Silver City,32.7701,-108.2803,73.36,57,0,9.22,clear sky,US,2022-08-06 05:15:43
213,Richards Bay,-28.783,32.0377,62.04,90,0,5.32,clear sky,ZA,2022-08-06 05:15:44
214,Namibe,-15.1961,12.1522,60.33,89,1,6.71,clear sky,AO,2022-08-06 05:15:45
215,Banes,20.9625,-75.7186,79.27,80,91,12.3,overcast clouds,CU,2022-08-06 05:15:45
216,Sulangan,11.1373,123.7228,82.13,74,100,2.68,overcast clouds,PH,2022-08-06 05:15:46
217,Aqtobe,50.2797,57.2072,78.89,36,0,8.95,clear sky,KZ,2022-08-06 05:15:46
218,Imbituba,-28.24,-48.6703,57.09,89,92,3.0,overcast clouds,BR,2022-08-06 05:15:47
219,Torbay,47.6666,-52.7314,66.76,91,100,21.85,overcast clouds,CA,2022-08-06 05:15:48
220,Cidreira,-30.1811,-50.2056,49.73,79,4,4.61,clear sky,BR,2022-08-06 05:15:48
221,Ustye,59.6304,39.736,72.14,64,11,4.94,few clouds,RU,2022-08-06 05:15:48
222,Verkhoyansk,67.5447,133.385,50.94,90,100,4.74,light rain,RU,2022-08-06 05:15:49
223,Chiman,32.5463,73.8138,89.44,66,58,7.25,broken clouds,PK,2022-08-06 05:15:50
224,Polovinnoye,54.7914,65.9864,73.38,54,11,5.26,few clouds,RU,2022-08-06 05:15:50
225,Ust-Tsilma,65.441,52.1498,73.62,61,64,5.23,broken clouds,RU,2022-08-06 05:16:51
226,San Vicente,-26.6167,-54.1333,44.87,97,11,3.51,few clouds,AR,2022-08-06 05:16:52
227,Paamiut,61.994,-49.6678,44.26,97,100,2.3,overcast clouds,GL,2022-08-06 05:13:26
228,Abu Zabad,12.35,29.25,76.78,77,100,6.02,overcast clouds,SD,2022-08-06 05:16:53
229,Barcelos,41.5388,-8.6151,67.91,88,30,1.92,scattered clouds,PT,2022-08-06 05:16:54
230,Alekseyevka,50.6309,38.6903,69.57,59,87,8.39,overcast clouds,RU,2022-08-06 05:16:54
231,Batouri,4.4333,14.3667,64.76,99,95,3.04,overcast clouds,CM,2022-08-06 05:16:55
232,Pingzhuang,42.0372,119.2889,93.34,33,94,6.91,overcast clouds,CN,2022-08-06 05:16:55
233,Narsaq,60.9167,-46.05,46.62,94,100,3.71,overcast clouds,GL,2022-08-06 05:16:56
234,Cayenne,4.9333,-52.3333,82.09,1,0,0.0,clear sky,GF,2022-08-06 05:14:56
235,Mayor Pablo Lagerenza,-19.9309,-60.7718,66.45,69,100,2.93,overcast clouds,PY,2022-08-06 05:16:58
